feature,test,statistic,p_value,drift_detected,training_mean,incoming_mean
age,kolmogorov_smirnov,0.06846416382252557,0.8461219226697126,False,54.3481228668942,53.54
gender,chi_square,0.0025526443575016786,0.9597050628949779,False,0.310580204778157,0.32
cp,chi_square,4.66392778434675,0.1981261426688148,False,0.9658703071672355,1.21
trestbps,kolmogorov_smirnov,0.06631399317406145,0.8708566260110567,False,131.679180887372,129.14
chol,kolmogorov_smirnov,0.04774744027303751,0.9917955445247818,False,246.17747440273038,248.39
fbs,chi_square,0.24903551259714296,0.6177550228607797,False,0.14675767918088736,0.12
restecg,chi_square,1.7012413059758016,0.4271497378993917,False,0.5187713310580204,0.44
thalach,kolmogorov_smirnov,0.07170648464163826,0.8053941342446123,False,149.88054607508533,151.31
exang,chi_square,2.489383950592831,0.11461658083567688,False,0.3310580204778157,0.24
oldpeak,kolmogorov_smirnov,0.06187713310580206,0.916375437529414,False,1.0542662116040957,0.9280000000000002
slope,chi_square,1.5373399711671807,0.4636292920694708,False,1.3924914675767919,1.47
ca,chi_square,3.142122242490067,0.5343295904120402,False,0.7303754266211604,0.69
thal,chi_square,0.5771540542542583,0.9016419268587668,False,2.3208191126279862,2.29
